id,user_posted,name,description,date_posted,photos,videos,url,quoted_post,tagged_users,replies,reposts,likes,views,external_url,hashtags,followers,biography,posts_count,profile_image_link,following,is_verified,quotes,bookmarks,parent_post_details
"1795704262074507432","KhadimHaqq","Khadim Haqq","What is he gonna do about it though? Jumped on the train 8 months in, where was this energy when he was locking people up for speaking up against Israel? Every statement he makes depends on how he will be viewed by the growing frustrated Saudis. This man is a disgusting traitor","""2024-05-29T06:30:33.000Z""","null","null","https://x.com/KhadimHaqq/status/1795704262074507432","{""data_posted"":null,""description"":null,""photos"":null,""post_id"":null,""profile_id"":null,""profile_name"":null,""url"":null,""videos"":null}","[{""biography"":null,""followers"":null,""following"":null,""is_verified"":null,""profile_id"":""1225234593789423616"",""profile_name"":""Megatron"",""url"":""https://x.com/Megatron_ron""}]",11,27,699,30879,"","null",1607,"Student | الله المستعان | Free🇵🇸🏳️🏴",8570,"https://pbs.twimg.com/profile_images/1812647454170382336/uRAgtg5h_normal.jpg",178,false,1,6,"{""data_posted"":null,""description"":null,""photos"":null,""post_id"":null,""profile_id"":null,""profile_name"":null,""url"":null,""videos"":null}"
"1720922514690375706","nida_journo","Nida' Ibrahim","In a place where every drop of water counts, Israeli forces destroy the main water tank in the north of the Gaza Strip. 97% of water in Gaza is undrinkable but to avoid dehydration some have been forced to drink it..","""2023-11-04T21:54:35.000Z""","null","[""https://video.twimg.com/ext_tw_video/1720922479416221696/pu/vid/avc1/848x480/J7jgDzmAfb02bfXs.mp4?tag=12""]","https://x.com/nida_journo/status/1720922514690375706","{""data_posted"":null,""description"":null,""photos"":null,""post_id"":null,""profile_id"":null,""profile_name"":null,""url"":null,""videos"":null}","null",42,1546,1585,146375,"","null",11685,"@AJEnglish Correspondent in the occupied West Bank. I live for stories, I love telling them, I love hearing them.",845,"https://pbs.twimg.com/profile_images/1739394415615942657/WEoLMZTb_normal.jpg",567,false,127,61,"{""data_posted"":null,""description"":null,""photos"":null,""post_id"":null,""profile_id"":null,""profile_name"":null,""url"":null,""videos"":null}"
"1727113960967885140","Morgayze","Morgayze - Original 𐚁 🍉","May he rest in piss","""2023-11-21T23:57:11.000Z""","[""https://pbs.twimg.com/media/F_fw_ijWEAAnJ_Y.jpg""]","null","https://x.com/Morgayze/status/1727113960967885140","{""data_posted"":null,""description"":null,""photos"":null,""post_id"":null,""profile_id"":null,""profile_name"":null,""url"":null,""videos"":null}","[{""biography"":null,""followers"":null,""following"":null,""is_verified"":null,""profile_id"":""1640915568789188615"",""profile_name"":""Maree Campbell"",""url"":""https://x.com/Campb37345Maree""}]",38,71,1385,97431,"","null",2568,"Wokerati. May I Never Be Perfect. God is a woman named Beyoncé. Sonia Sotomayor, Ketanji B Jackson, Judith Butler, Kristen Bell & Meghan Markle are archangels.",74069,"https://pbs.twimg.com/profile_images/1812893425907154944/7zpcJWTM_normal.jpg",5830,false,0,33,"{""data_posted"":null,""description"":null,""photos"":null,""post_id"":null,""profile_id"":null,""profile_name"":null,""url"":null,""videos"":null}"
"1800863719293083764","zyyluvs","izy⁷🐳","i think it’s time we trend the tags again! HYBE, We urge you to separate HYBE and its artists entirely from zionist individuals and zionist products and services that support and/or fund the genocide of Palestinians. #하이브는시오니스트를퇴출하라 #HybeDivestFromZionism","""2024-06-12T12:12:23.000Z""","[""https://pbs.twimg.com/media/GP30ASSbAAA4qLE.jpg"",""https://pbs.twimg.com/media/GP30ASQaoAAK7bt.jpg"",""https://pbs.twimg.com/media/GP30ASPaIAA2-Sm.jpg"",""https://pbs.twimg.com/media/GP30ASQbYAAym58.jpg""]","null","https://x.com/zyyluvs/status/1800863719293083764","{""data_posted"":null,""description"":null,""photos"":null,""post_id"":null,""profile_id"":null,""profile_name"":null,""url"":null,""videos"":null}","null",197,2130,2073,33867,"","[""하이브는시오니스트를퇴출하라"",""HybeDivestFromZionism""]",1278,"dream, may your trials end in full bloom🪷#FreePalestine #FreeCongo #FreeSudan.",34053,"https://pbs.twimg.com/profile_images/1816804400603758594/4xVq88g6_normal.jpg",781,false,24,59,"{""data_posted"":null,""description"":null,""photos"":null,""post_id"":null,""profile_id"":null,""profile_name"":null,""url"":null,""videos"":null}"
"1799608510902370599","GaryWKinsman","Gary Kinsman","The same question must be asked of @PrideToronto which has refused to even discuss the call from QUEERS IN PALESTINE. It accepts the support of Banks and governments supporting Genocide, opposes the BDS campaign and relies on the Toronto Police! TODAY: A large and diverse coalition of 70+ pro-Palestine and LGBTQ+ organizations gathered to celebrate pride and demand Boston's Pride for the People adhere to Boycott, Divestment, Sanctions (BDS) and implement a community-based safety plan, rather than relying on BPD.","""2024-06-09T01:04:38.000Z""","null","null","https://x.com/GaryWKinsman/status/1799608510902370599","{""data_posted"":null,""description"":""TODAY: A large and diverse coalition of 70+ pro-Palestine and LGBTQ+ organizations gathered to celebrate pride and demand Boston's Pride for the People adhere to Boycott, Divestment, Sanctions (BDS) and implement a community-based safety plan, rather than relying on BPD. https://t.co/OfBqggpAiN"",""photos"":null,""post_id"":""1799603108106121726"",""profile_id"":""DSAWorkingMass"",""profile_name"":""Working Mass"",""url"":""https://x.com/DSAWorkingMass/status/1799603108106121726"",""videos"":[""https://video.twimg.com/ext_tw_video/1799603021883543552/pu/vid/avc1/720x1280/N2wtm93y6uzLZRI6.mp4?tag=12""]}","[{""biography"":null,""followers"":null,""following"":null,""is_verified"":null,""profile_id"":""19557220"",""profile_name"":""Pride Toronto"",""url"":""https://x.com/PrideToronto""}]",8,50,141,7779,"","null",5902,"Queer and Anti-Capitalist Activist, author and researcher",189133,"https://pbs.twimg.com/profile_images/494666978984857601/56gLqRUy_normal.jpeg",6146,false,1,5,"{""data_posted"":null,""description"":null,""photos"":null,""post_id"":null,""profile_id"":null,""profile_name"":null,""url"":null,""videos"":null}"
"1711882176285859918","Gabby_Hoffman","Gabriella Hoffman","I organized this event at UCSD in May 2010. No h/t, @Kevin__McMahon ? Time to resurface this harrowing exchange between David Horowitz and a student at the University of California San Diego in 2010.","""2023-10-10T23:11:30.000Z""","null","null","https://x.com/Gabby_Hoffman/status/1711882176285859918","{""data_posted"":null,""description"":""Time to resurface this harrowing exchange between David Horowitz and a student at the University of California San Diego in 2010. https://t.co/YPnqKJCzMo"",""photos"":null,""post_id"":""1711833732036862198"",""profile_id"":""Kevin__McMahon"",""profile_name"":""Kevin McMahon"",""url"":""https://x.com/Kevin__McMahon/status/1711833732036862198"",""videos"":[""https://video.twimg.com/ext_tw_video/1711833223469125632/pu/vid/avc1/640x480/wyUdjSHdN_4Yz4-P.mp4?tag=12""]}","[{""biography"":null,""followers"":null,""following"":null,""is_verified"":null,""profile_id"":""871375951254491136"",""profile_name"":""Kevin McMahon"",""url"":""https://x.com/Kevin__McMahon""}]",54,164,692,557598,"","null",53169,"@IWF Center for Energy & Conservation Director. @cfact Policy Analyst & Host. 🖊@townhallcom.🎙️ @dconservpodcast . Award-Winning Writer. Tweets=My Views.",80677,"https://pbs.twimg.com/profile_images/1833318303890022400/v5I-RWQ8_normal.jpg",5340,false,18,122,"{""data_posted"":null,""description"":null,""photos"":null,""post_id"":null,""profile_id"":null,""profile_name"":null,""url"":null,""videos"":null}"
"1756631725956792349","DEVAN_A1","DEVAN🇵🇸 busy🥹","He didnt reflect on his actions What tweets would you guys put in holostars hall of fame tweets","""2024-02-11T10:50:14.000Z""","[""https://pbs.twimg.com/media/GGDPPcxXAAAQiCK.jpg""]","null","https://x.com/DEVAN_A1/status/1756631725956792349","{""data_posted"":null,""description"":""What tweets would you guys put in holostars hall of fame tweets"",""photos"":null,""post_id"":""1756337155495092617"",""profile_id"":""fwnrei"",""profile_name"":""Fenri"",""url"":""https://x.com/fwnrei/status/1756337155495092617"",""videos"":null}","null",3,79,324,6007,"","null",887,"main oshi: mayuzumi💻💙& Izuru🎸 niji:cnr ☪️🧷🌊🔔🌸🌙🎻🐼🥷🌙 ♡ krisis🃏🔪♡nprt📖✏️. otome games&shoujo manga. ic @sutoberio ,🇵🇸,(correct my TLs)",84931,"https://pbs.twimg.com/profile_images/1820505941055619073/ueynnCNI_normal.png",1128,false,1,10,"{""data_posted"":null,""description"":null,""photos"":null,""post_id"":null,""profile_id"":null,""profile_name"":null,""url"":null,""videos"":null}"
"1783882974292791439","BTnewsroom","BreakThrough News","The student uprisings for Palestine have gone global. Students in Paris occupied the campus building at Elite Paris University, launching a major Palestine solidarity protest after a wave of antiwar protests have swept college campuses across the U.S.","""2024-04-26T15:36:58.000Z""","null","[""https://video.twimg.com/ext_tw_video/1783882909113364481/pu/vid/avc1/1280x720/RERY7b7ZdI8tvrMr.mp4?tag=12""]","https://x.com/BTnewsroom/status/1783882974292791439","{""data_posted"":null,""description"":null,""photos"":null,""post_id"":null,""profile_id"":null,""profile_name"":null,""url"":null,""videos"":null}","null",199,8141,25421,595433,"","null",156981,"Covering people’s movements and global politics.
https://t.co/vbYSC8wOB3 Support below👇",10771,"https://pbs.twimg.com/profile_images/1559427530448408577/E1jdhVJK_normal.jpg",276,false,211,692,"{""data_posted"":null,""description"":null,""photos"":null,""post_id"":null,""profile_id"":null,""profile_name"":null,""url"":null,""videos"":null}"
"1720903874205167925","MnarMuh","Mnar Adley","Happening now: Thousands march the streets of Minneapolis demanding Joe Biden call for a ceasefire","""2023-11-04T20:40:31.000Z""","null","null","https://x.com/MnarMuh/status/1720903874205167925","{""data_posted"":null,""description"":""Happening now: Thousands march the streets of Minneapolis demanding Joe Biden call for a ceasefire https://t.co/RUpRBkKnbF"",""photos"":null,""post_id"":""1720898545367081265"",""profile_id"":""MnarMuh"",""profile_name"":""Mnar Adley"",""url"":""https://x.com/MnarMuh/status/1720898545367081265"",""videos"":[""https://video.twimg.com/ext_tw_video/1720898488613879808/pu/vid/avc1/720x1280/jSBzwA5JTIKUtSCp.mp4?tag=12""]}","null",7,253,1783,162121,"https://twitter.com/MnarMuh/status/1720898545367081265?t=NT54engHdo2BQntX3PyHFA&s=19","null",43309,"Founder & Director |  @MintPressNews 
& BTH.  Conscious entrepeneur #FreePalestine",16181,"https://pbs.twimg.com/profile_images/1778631330923765760/0nXbD-aj_normal.jpg",4925,false,6,7,"{""data_posted"":null,""description"":null,""photos"":null,""post_id"":null,""profile_id"":null,""profile_name"":null,""url"":null,""videos"":null}"
"1826961695127777590","brigidsmyth","Brigid Smyth","“When it's nobody's business the way that you want to live I just have to remember there'll be days like this”. Started work on a huge new project on nature, after many months of planning and worry! So grateful to all those involved. Stay the course, have faith in yourself.","""2024-08-23T12:36:26.000Z""","null","[""https://video.twimg.com/ext_tw_video/1826961661338472448/pu/vid/avc1/720x1172/ltEhJLkXnAz7R6_x.mp4?tag=12""]","https://x.com/brigidsmyth/status/1826961695127777590","{""data_posted"":null,""description"":null,""photos"":null,""post_id"":null,""profile_id"":null,""profile_name"":null,""url"":null,""videos"":null}","null",21,114,660,76529,"","null",54347,"Nature. Conservation. Heritage. 🌎 . Wildlife and wild places. Writer & artist. Fractals of nature in tributaries of ink. ☘️LLM Int’l Commercial Law (Distinct)",4824,"https://pbs.twimg.com/profile_images/1771928522770034688/Ay3zjZnQ_normal.jpg",39102,false,2,6,"{""data_posted"":null,""description"":null,""photos"":null,""post_id"":null,""profile_id"":null,""profile_name"":null,""url"":null,""videos"":null}"
